79	6.4	26.2	37.88587	438.89	7	1009.4	1013.4	62	0.86	299.35	301.9157298447	2.5657298447						
80	6	27.3	50.80559	622.22	8	1009.5	1013.5	55	1.58	300.45	303.0251579483	2.5751579483						
81	6.6	28	78.39095	777.78	9	1009.8	1013.8	48	2.24	301.15	303.7311576507	2.5811576507						
82	7.1	28.5	97.40973	875.00	10	1009.4	1013.4	48	2.8	301.65	304.2354431523	2.5854431523						
83	7.1	29.4	102.41	919.44	11	1009.1	1013.1	47	3.15	302.55	305.1431570553	2.5931570553						
84	6.8	30.1	100.4375	897.22	12	1008.8	1012.8	45	3.31	303.25	305.8491567576	2.5991567576						
85	8.2	30.5	99.42878	825.00	13	1008.3	1012.3	45	3.23	303.65	306.252585159	2.602585159						
86	7.9	30.5	101.6318	697.22	14	1007.7	1011.7	46	2.97	303.65	306.252585159	2.602585159						
87	5.3	31.1	104.9484	533.33	15	1007.5	1011.5	48	2.51	304.25	306.857727761	2.607727761						
88	6.1	30.8	103.2401	338.89	16	1007.1	1011.1	51	1.92	303.95	306.55515646	2.60515646						
89	6.3	30.2	107.1738	130.56	17	1007.1	1011.1	52	1.22	303.35	305.950013858	2.600013858						
90	5.5	29.8	95.77986	5.56	18	1007.7	1011.7	54	0.47	302.95	305.5465854566	2.5965854566						
91	5	29.1	75.52512	0.00	19	1007.9	1011.9	57	0.02	302.25	304.8405857543	2.5905857543						
92	3.6	28.7	57.78432	0.00	20	1008.8	1012.8	61	0	301.85	304.437157353	2.587157353						
93	2.8	28.2	50.21478	0.00	21	1009.3	1013.3	62		301.35	303.9328718513	2.5828718513						
94	0.9	27.6	34.31791	0.00	22	1009.5	1013.5	70		300.75	303.3277292493	2.5777292493						
95	4.7	26.1	27.74343	0.00	23	1009.5	1013.6	74		299.25	301.8148727444	2.5648727444						
96	4.4	23.8	19.22778	0.00	24	1009.8	1013.9	78		296.95	299.4951594367	2.5451594367						
											0							
