,,,The datasets at the top of tower,,,,,,,,,,,The profile of the data from sonic anemometers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The profile of air temperature,,,,,,,,,,,,The profile of humidity,,,,,,,,,,
Year,Day of year,TIME(JST),Sdown (W m-2),Sup (W m-2),Ldown (W m-2),Lup (W m-2),U (m s-1),Tsonic (oC),q (g kg-1),H (W m-2),LE (W m-2),z'/L,,U29m (m s-1),U21m (m s-1),U15m (m s-1),U11m (m s-1),Tsonic29m (m s-1),Tsonic21m (m s-1),Tsonic15m (m s-1),Tsonic11m (m s-1),u'w'29m (m2 s-2),u'w'21m (m2 s-2),u'w'15m (m2 s-2),u'w'11m (m2 s-2),su29m (m s-1),su21m (m s-1),su15m (m s-1),su11m (m s-1),sv29m (m s-1),sv21m (m s-1),sv15m (m s-1),sv11m (m s-1),sw29m (m s-1),sw21m (m s-1),sw15m (m s-1),sw11m (m s-1),w'T'29m (m s-1 K),w'T'21m (m s-1 K),w'T'15m (m s-1 K),w'T'11m (m s-1 K),w'q'29m (m s-1 g kg-1),w'q'21m (m s-1 g kg-1),,Tair0.75m (oC),Tair3m (oC),Tair5m (oC),Tair7m (oC),Tair9m (oC),Tair11m (oC),Tair14m (oC),Tair17m (oC),Tair21m (oC),Tair25m (oC),Tair28m (oC),,H2O0.75m (mmol mol-1),H2O3m (mmol mol-1),H2O5m (mmol mol-1),H2O7m (mmol mol-1),H2O9m (mmol mol-1),H2O11m (mmol mol-1),H2O14m (mmol mol-1),H2O17m (mmol mol-1),H2O21m (mmol mol-1),H2O25m (mmol mol-1),H2O28m (mmol mol-1)
,2,19,2.1 ,-0.3 ,278.5 ,329.7 ,1.7907,8.8831,2.7545,-2.4832,-0.098724,-0.000021824,,1.7907,1.4671,0.92805,0.33741,8.8831,8.5144,4.4079,5.5138,0.0036411,0.00074723,-0.0063925,-0.0058178,0.39997,0.38683,0.44507,0.26188,0.29977,0.31419,0.26823,0.22976,0.11604,0.09939,0.11372,0.10889,-0.0020319,-0.0017746,-0.0040126,-0.0039706,-0.000014177,-0.00015767,,3.781833333,4.868666667,-6999,6.230666667,-6999,6.854,-6999,7.431666667,-6999,7.673333333,7.585,,4.998785714,4.917535714,4.822857143,4.603821429,4.415857143,4.332142857,4.230571429,4.133464286,4.057357143,4.014607143,3.986892857
,2,20,2.9 ,0.1 ,264.3 ,326.6 ,1.3192,8.6615,2.8948,-1.7496,-0.077933,-0.000021841,,1.3192,0.79307,0.39171,0.3753,8.6615,8.2413,4.0508,5.0322,0.00088208,-0.0013342,-0.0055597,-0.0010098,0.30152,0.20505,0.22384,0.16423,0.18796,0.17655,0.39113,0.35816,0.088669,0.091283,0.11812,0.067016,-0.0014316,0.00019631,-0.001965,0.00093994,-0.000012145,-0.00011273,,3.390666667,4.4995,-6999,5.631,-6999,6.403,-6999,7.075666667,-6999,7.3,7.333333333,,5.107392857,5.072035714,5.018964286,4.883857143,4.711678571,4.540214286,4.369178571,4.282428571,4.192964286,4.120428571,4.077571429
,2,21,2.6 ,0.9 ,262.5 ,322.7 ,2.0635,7.3962,3.2451,1.6375,0.73582,-0.000021939,,2.0635,1.9737,1.7316,1.1033,7.3962,6.8782,2.5234,3.6301,0.0052701,-0.002074,-0.005082,-0.0041444,0.33621,0.32928,0.31444,0.30738,0.39924,0.37886,0.46573,0.30955,0.091708,0.085356,0.11302,0.13742,0.0013399,-0.00060763,-0.003955,-0.007437,0.00023788,-0.00033242,,3.248333333,4.156,-6999,4.5825,-6999,5.023166667,-6999,5.603666667,-6999,5.918166667,6.007166667,,5.206392857,5.162464286,5.137642857,5.10275,5.062821429,4.977035714,4.855285714,4.766142857,4.628535714,4.57625,4.586464286
,2,22,2.3 ,0.9 ,252.8 ,319.0 ,3.328,5.7327,3.463,-9.9249,2.79,0.29111,,3.328,2.7533,2.1062,1.3775,5.7327,5.4155,1.2216,2.6716,-0.03359,-0.030765,-0.064469,-0.061282,0.51729,0.53512,0.61315,0.57216,0.40081,0.42899,0.47794,0.45976,0.26696,0.25316,0.28227,0.29194,-0.008121,-0.0079233,-0.0062181,-0.0065753,0.0010612,0.0011578,,3.649833333,3.901166667,-6999,3.914833333,-6999,4.012833333,-6999,4.1335,-6999,4.1575,4.157666667,,5.179321429,5.155964286,5.155964286,5.146642857,5.142035714,5.130785714,5.117714286,5.1065,5.051464286,5.034107143,5.045428571
,2,23,2.3 ,1.1 ,245.1 ,314.8 ,3.49,4.5632,2.9994,-6.4955,5.7634,0.054446,,3.49,2.9037,2.2732,1.5712,4.5632,4.2698,0.01857,1.5185,-0.077639,-0.064969,-0.10079,-0.10095,0.80301,0.76104,0.79232,0.73339,0.58427,0.6015,0.62643,0.57129,0.35693,0.34477,0.37407,0.36919,-0.0053149,-0.0037447,-0.0013574,0.0069217,0.0020428,0.0012542,,2.849666667,2.967166667,-6999,2.9325,-6999,2.9575,-6999,2.976833333,-6999,2.929,2.9025,,4.51,4.480678571,4.480107143,4.471607143,4.468107143,4.453214286,4.435178571,4.422535714,4.438607143,4.427285714,4.387642857
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,232,0,0.0 ,-0.2 ,428.6 ,477.0 ,2.7807,28.411,18.159,-0.78216,2.512,0.0061209,,2.7807,2.41,2.0347,1.2666,28.411,28.241,26.331,27.96,-0.076933,-0.10489,-0.12035,-0.13996,0.66017,0.68231,0.70182,0.7037,0.53919,0.50946,0.59087,0.59291,0.35505,0.36303,0.37853,0.39539,-0.00064,-0.001315,-0.0049076,-0.0064202,0.0008838,0.000497,,-6999,27.63166667,27.62833333,-6999,27.64333333,-6999,27.64833333,27.67166667,-6999,-6999,-6999,,28.55178571,28.44678571,28.41107143,28.36964286,28.33928571,28.30535714,28.31035714,28.27607143,28.22392857,28.19857143,28.23
summer,232,1,0.0 ,-0.4 ,427.8 ,476.2 ,2.9516,28.364,18.058,-5.4581,5.3442,0.024437,,2.9516,2.6463,2.1428,1.5456,28.364,28.197,26.294,27.914,-0.11164,-0.14194,-0.14677,-0.13821,0.77343,0.80254,0.78423,0.77229,0.60426,0.60609,0.65833,0.60878,0.35389,0.36363,0.39311,0.35499,-0.0044661,-0.003601,-0.0073124,-0.0094218,0.002066,0.0016048,,-6999,27.535,27.55,-6999,27.61166667,-6999,27.61666667,27.635,-6999,-6999,-6999,,28.36357143,28.31,28.29607143,28.24607143,28.21392857,28.18678571,28.195,28.15714286,28.09928571,28.07285714,28.10357143
,232,2,0.1 ,-0.2 ,425.6 ,474.0 ,1.9481,28.167,18.047,-4.7136,6.9546,0.073867,,1.9481,1.7452,1.3984,0.96743,28.167,28.001,26.065,27.67,-0.048451,-0.050461,-0.040031,-0.036046,0.54676,0.54525,0.50312,0.46449,0.4243,0.43032,0.6308,0.51568,0.23856,0.24189,0.23926,0.22832,-0.0038569,-0.0031752,-0.0034019,-0.0043999,0.0025715,0.0012464,,-6999,27.26666667,27.29,-6999,27.365,-6999,27.385,27.40166667,-6999,-6999,-6999,,28.23785714,28.15035714,28.12821429,28.0875,28.0675,28.05464286,28.06714286,28.03785714,27.99,27.96821429,28.01321429
,232,3,0.1 ,0.0 ,425.1 ,471.1 ,1.7139,27.764,18.699,-1.5397,-1.6111,0.073733,,1.7139,1.5246,1.2288,0.87384,27.764,27.608,25.642,27.27,-0.023029,-0.027163,-0.015859,-0.018279,0.36785,0.36855,0.41535,0.34853,0.38593,0.39071,0.41766,0.37437,0.18876,0.19398,0.18478,0.18579,-0.0012598,-0.00090117,-0.0021367,-0.0029349,-0.00046338,-0.00023489,,-6999,26.87833333,26.88333333,-6999,26.89666667,-6999,26.88333333,26.89166667,-6999,-6999,-6999,,29.19607143,29.16714286,29.16142857,29.1325,29.12821429,29.12142857,29.15392857,29.12107143,29.06678571,29.04678571,29.13321429
,232,4,0.4 ,-0.2 ,419.6 ,469.6 ,1.2942,27.649,18.208,-2.9979,8.2483,0.16845,,1.2942,1.1475,0.94199,0.61441,27.649,27.477,25.479,27.086,-0.020706,-0.031321,-0.027454,-0.025083,0.40439,0.39313,0.41579,0.36573,0.38894,0.39498,0.58821,0.48644,0.17803,0.18957,0.18304,0.17115,-0.002453,-0.002172,-0.0039557,-0.0040056,0.0029237,0.0026208,,-6999,26.57666667,26.61833333,-6999,26.73666667,-6999,26.76333333,26.79,-6999,-6999,-6999,,28.95464286,28.7675,28.71928571,28.66321429,28.62535714,28.58214286,28.57357143,28.50035714,28.39678571,28.36285714,28.47535714
